prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name,forward
0.9998778,1.1541224e-07,6.464761e-06,0.00011562272,0.9998778,0,none,True
0.999972,8.825671e-07,2.2392571e-06,2.4888966e-05,0.999972,0,none,True
0.99997115,1.7367421e-08,1.6340433e-05,1.2461746e-05,0.99997115,0,none,True
0.9999988,1.7053601e-07,3.2367726e-07,7.374449e-07,0.9999988,0,none,True
0.9999355,5.703377e-08,4.4043398e-05,2.0352656e-05,0.9999355,0,none,True
0.999977,1.1501784e-06,8.331213e-06,1.3563217e-05,0.999977,0,none,True
0.9999664,1.1691431e-05,1.05414765e-05,1.1346799e-05,0.9999664,0,none,True
0.99999475,4.5425136e-06,3.9121454e-07,2.7406384e-07,0.99999475,0,none,True
0.99998224,1.427972e-05,1.1260452e-06,2.375554e-06,0.99998224,0,none,True
0.99998844,9.793144e-06,1.8199523e-07,1.6353334e-06,0.99998844,0,none,True
0.9999963,4.7718726e-07,1.3709716e-07,3.0716335e-06,0.9999963,0,none,True
0.9999864,1.0464681e-05,4.803054e-07,2.6524644e-06,0.9999864,0,none,True
0.9999938,1.946361e-08,2.6100465e-06,3.5736196e-06,0.9999938,0,none,True
0.9999974,1.8067416e-08,1.2286869e-06,1.3579613e-06,0.9999974,0,none,True
0.99999726,1.8172837e-07,3.443593e-07,2.2282213e-06,0.99999726,0,none,True
0.9999809,1.05804965e-07,1.7400942e-05,1.5754291e-06,0.9999809,0,none,True
0.99996793,7.770764e-06,3.083221e-06,2.1228645e-05,0.99996793,0,none,True
0.9999926,1.2408515e-07,5.3872e-06,1.8608293e-06,0.9999926,0,none,True
0.999895,5.887731e-08,9.892094e-05,6.001131e-06,0.999895,0,none,True
0.9999666,2.6620097e-07,3.29124e-05,1.441447e-07,0.9999666,0,none,True
0.9999906,4.718114e-07,7.2520006e-06,1.6737794e-06,0.9999906,0,none,True
0.9999989,1.2944209e-07,8.658883e-07,2.9166316e-08,0.9999989,0,none,True
0.9999974,2.2700218e-07,9.116243e-07,1.4421138e-06,0.9999974,0,none,True
0.9999571,3.953272e-05,2.714784e-06,7.1317794e-07,0.9999571,0,none,True
0.9999962,1.6233457e-06,1.2405691e-06,9.561021e-07,0.9999962,0,none,True
0.99995387,4.353257e-07,7.724925e-06,3.794915e-05,0.99995387,0,none,True
0.9999931,2.1199812e-06,6.7267405e-07,4.131465e-06,0.9999931,0,none,True
0.99998283,1.711654e-06,1.45321965e-05,8.9836414e-07,0.99998283,0,none,True
0.99999857,1.3086382e-06,1.153222e-07,2.400194e-08,0.99999857,0,none,True
0.99999917,1.8532252e-07,1.3410279e-07,4.782041e-07,0.99999917,0,none,True
0.9999852,3.3711378e-06,9.8861055e-06,1.5184971e-06,0.9999852,0,none,True
0.999967,6.241233e-08,3.2836888e-05,9.294268e-08,0.999967,0,none,True
0.999995,2.8229184e-07,3.9864904e-06,7.3962406e-07,0.999995,0,none,True
0.99999917,8.9660396e-08,3.2345832e-07,3.9745206e-07,0.99999917,0,none,True
0.9999987,2.7990392e-08,3.1726543e-07,9.735348e-07,0.9999987,0,none,True
0.9999982,1.3873115e-06,1.5187e-07,2.7123141e-07,0.9999982,0,none,True
0.9999988,9.960421e-07,5.9283366e-08,1.3514719e-07,0.9999988,0,none,True
0.9999995,3.836549e-08,7.443212e-08,3.9622034e-07,0.9999995,0,none,True
0.9999995,1.681364e-07,1.06957614e-07,1.5594034e-07,0.9999995,0,none,True
0.9999944,4.863584e-06,5.9278386e-07,1.8669125e-07,0.9999944,0,none,True
0.9999982,1.3712044e-07,1.5929954e-06,9.522307e-08,0.9999982,0,none,True
0.9999969,9.276574e-07,1.6331435e-06,5.8085595e-07,0.9999969,0,none,True
0.9999994,5.522273e-07,5.083541e-08,2.9589378e-08,0.9999994,0,none,True
0.9999964,4.8311484e-09,3.2717803e-06,3.286464e-07,0.9999964,0,none,True
